"ID","VALUE"
"ID_YES","हाँ"
"ID_NO","नहीं"
"ID_THOUSANDS","K"
"ID_MILLIONS","mn."
"ID_BILLIONS","bn."
"ID_TRILLIONS","tn."
"ID_AA","a"
"ID_BB","b"
"ID_CC","c"
"ID_DD","d"
"ID_EE","e"
"ID_FF","f"
"ID_GG","g"
"ID_HH","h"
"ID_II","i"
"ID_JJ","j"
"ID_KK","k"
"ID_LL","l"
"ID_MM","m"
"ID_NN","n"
"ID_OO","o"
"ID_PP","p"
"ID_QQ","q"
"ID_RR","r"
"ID_SS","s"
"ID_TT","t"
"ID_UU","u"
"ID_VV","v"
"ID_WW","w"
"ID_XX","x"
"ID_YY","y"
"ID_ZZ","z"
"ID_COMEBACK","आपका स्वागत है!"
"ID_U_ABSENT","आप इतने समय से दूर थे"
"ID_U_OFFLINE_COLLECTED","इस समय के दौरान आपके द्वारा अर्जित ऑब्जेक्ट"
"ID_GET","प्राप्त करें"
"ID_WATCH","विज्ञापन देखें"
"ID_TAB_RESEARCH","शोध"
"ID_TAB_RESEARCH_FULL","शोध"
"ID_TAB_RESEARCH_DESC","बोनस प्राप्त करने के लिए शोध शुरू करें"
"ID_TAB_UPGRADE","अपग्रेड करें"
"ID_TAB_QUESTS","क्वेस्ट"
"ID_TAB_SHOP","शॉप"
"ID_TAB_TREE","वृक्ष"
"ID_SETTINGS","सेटिंग"
"ID_LANGUAGE","भाषा"
"ID_LANGUAGE_TITLE","हिंदी"
"ID_MUSIC","म्यूजिक"
"ID_SFX","साउंड"
"ID_PRIVACY_POLICY","गोपनीयता नीति"
"ID_SEC","सेकंड"
"ID_QUESTS","क्वेस्ट"
"ID_QUESTS_RENO_DESCR","आधुनिकीकरण को संभव बनाने के लिए {0} क्वेस्ट पूरे करें"
"ID_Q_COLLECT_SOFT","{0} शुद्ध ऊर्जा एकत्र करें"
"ID_Q_COLLECT_INCOME","{0} बार ऑब्जेक्ट से आय एकत्र करें"
"ID_Q_OPEN_CASES","{0} संदूक खोलें"
"ID_Q_USE_TBOOSTER","टाइम बूस्टर का इस्तेमाल करें"
"ID_Q_USE_TBOOSTER_CERTAIN","{0} घंटों का टाइम बूस्टर इस्तेमाल करें"
"ID_Q_OPEN_CASE_CERTAIN","{0} खोलें"
"ID_Q_START_ECOBOOST","इकोबूस्ट का इस्तेमाल करें"
"ID_Q_UPGRADE_IOBJECT","{0} को अपग्रेड करें ((#{1}) से लेवल {2}"
"ID_Q_UPGRADE_PERS","कोई भी किरदार अपग्रेड करें"
"ID_Q_BUILD_IO","{0} (#{1}) बनाएं"
"ID_Q_COLLECT_INCOME_CERTAIN","ऑब्जेक्ट {0} से {1} बार आय एकत्र करें"
"ID_Q_COLLECT_SOFT_TOTAL","{0} शुद्ध ऊर्जा एकत्र करें"
"ID_Q_UPGTADE_PERS_CERTAIN","{0} को अपग्रेड करें"
"ID_Q_COLLECT_AIRDROPS","{0} बार एयरशिप इनाम एकत्र करें"
"ID_Q_LAUNCH_RESEARCH","{0} बार शोध शुरू करें"
"ID_Q_USE_COFFEE","कॉफ़ीबूस्ट का इस्तेमाल करें"
"ID_CASES_TITLE","संदूक"
"ID_CASE_SIMPLE","सामान्य संदूक"
"ID_CASE_STEEL","स्टील का संदूक"
"ID_CASE_GOLD","सोने का संदूक"
"ID_GEMS_TITLE","रत्न"
"ID_GEMS_PACK_1","कुछ रत्न"
"ID_GEMS_PACK_2","मुट्ठी भर रत्न"
"ID_GEMS_PACK_3","रत्नों का थैला"
"ID_GEMS_PACK_4","रत्नों का संदूक"
"ID_GEMS_PACK_5","रत्नों का ट्रक"
"ID_GEMS_PACK_6","रत्नों का पहाड़"
"ID_BOOSTERS_TITLE","टाइम बूस्टर"
"ID_BOOSTER_DESC_1","{0} घंटे के लिए टाइम रिवाइंड करें"
"ID_BOOSTER_DESC_2","{0} घंटों के लिए टाइम रिवाइंड करें"
"ID_ECOBOOST_TITLE","इकोबूस्ट"
"ID_ECOBOOST_DESC","4 घंटों के लिए आय बढ़ाता है। यह प्रभाव 12 घंटों तक रहेगा।"
"ID_COFFEE_BOOST","कॉफ़ीबूस्ट"
"ID_COFFEE_POP_TITLE","कॉफ़ी का कप"
"ID_COFFEE_POP_DESC","सभी ऑब्जेक्ट {0} सेकंड के लिए तेज हो जाते हैं"
"ID_DRINK","ड्रिंक"
"ID_TIME","{0}h. {1}min."
"ID_IO_TITLE_1","स्वयंसेवक सफाईकर्मी"
"ID_IO_TITLE_2","ट्रैक्टर"
"ID_IO_TITLE_3","नदी का फिल्टर"
"ID_IO_TITLE_4","विभाजक"
"ID_IO_TITLE_5","कचरा छांटना"
"ID_IO_TITLE_6","जंगल"
"ID_IO_TITLE_7","ग्लास गलाने वाला"
"ID_IO_TITLE_8","ग्रीन हाउस"
"ID_IO_TITLE_9","कार प्रेस"
"ID_IO_TITLE_10","पवन जनरेटर"
"ID_IO_TITLE_11","एयर फ्रेशनर"
"ID_IO_TITLE_12","नेचर रिज़र्व"
"ID_IO_TITLE_13","रबर ग्राइंडर"
"ID_IO_TITLE_14","स्मेल्टिंग प्लांट"
"ID_IO_TITLE_15","3डी प्रिंटर"
"ID_IO_TITLE_16","टेस्ला गैरेज"
"ID_IO_TITLE_17","समुद्री खेत"
"ID_IO_TITLE_18","फ्लोटिंग क्लीनर"
"ID_IO_TITLE_19","मत्स्य-प्रसूति गृह"
"ID_IO_TITLE_20","कृत्रिम रीफ"
"ID_IO_TITLE_21","इलेक्ट्रिक बॉबर"
"ID_IO_TITLE_22","पार्क"
"ID_IO_TITLE_23","झील"
"ID_IO_TITLE_24","पतझड़ का जंगल"
"ID_IO_TITLE_25","वनपाल का घर"
"ID_IO_TITLE_26","मोनोरेल स्टेशन"
"ID_IO_TITLE_27","आइस द्वीप"
"ID_IO_TITLE_28","हिमशैल"
"ID_IO_DESC_1","दुनिया को एक बेहतर जगह बनाने के लिए कितना अच्छा दिन है! छोटी शुरुआत करें!
 ओह, आपने वहां कैंडी का रेपर छोड़ दिया।"
"ID_IO_DESC_2","तकनीकी उपकरण तेजी से कचरा इकट्ठा करने में हमारी मदद करेंगे।
 ट्रैक्टर इको-फ्रेंडली है, इसमें पैडल हैं।"
"ID_IO_DESC_3","सफाई की वजह से इस नदी में मछली के अब स्पर्श-तन्तु नहीं हैं।"
"ID_IO_DESC_4","रीसाइक्लिंग का बहुत महत्वपूर्ण चरण। बेकार की चीजों से मूल्यवान चीजों को अलग करना।
 आह! एक सिक्का!"
"ID_IO_DESC_5","कांच - अलग, कागज - अलग, प्लास्टिक - अलग।"
"ID_IO_DESC_6","जानवरों के लिए घर, लोगों के लिए ऑक्सीजन।"
"ID_IO_DESC_7","हम नया कांच पाने के लिए पुराने कांच को पिघला रहे हैं। हम इसे बार-बार कर सकते हैं।"
"ID_IO_DESC_8","पूरे साल ताजा फल और सब्जियां उगाना, ठीक अपने बगल में।"
"ID_IO_DESC_9","कारों को मुनासिब क्यूब में बदल देता है। क्यों? क्योंकि यह ऐसा कर सकता है। और यह भी क्योंकि यह उनकी रीसाइक्लिंग को बहुत आसान बना देता है।"
"ID_IO_DESC_10","पूरी तरह से हवा से बिजली का उत्पादन करता है!"
"ID_IO_DESC_11","हानिकारक अशुद्धियों से हवा को शुद्ध करता है! वो नहीं जो आपने सोचा था।"
"ID_IO_DESC_12","लुप्तप्राय प्रजातियां कम संकटग्रस्त हो जाएंगी।"
"ID_IO_DESC_13","आप पुराने टायरों से बहुत सारी उपयोगी चीजें बना सकते हैं। उन्हें जलाने में उतना मज़ा नहीं है, जितना उनके व्यवहारिक उपयोग में है।"
"ID_IO_DESC_14","आप अपने पुराने फ्राइंग पैन से एक नया फ्राइंग पैन बना सकते हैं!"
"ID_IO_DESC_15","त्याग किए गए प्लास्टिक का ढेर अब कचरा नहीं है, बल्कि एक मूल्यवान संसाधन है।"
"ID_IO_DESC_16","इलेक्ट्रिक कारें भविष्य का परिवहन हैं!"
"ID_IO_DESC_17","लोगों, समुद्री जीवन और जलवायु के लिए कब अच्छा समय आएगा।"
"ID_IO_DESC_18","कचरे के महासागरों को साफ करने का सबसे प्रभावी तरीका।"
"ID_IO_DESC_19","समुद्री जीव-जंतुओं को भी फिर से बहाल करने की आवश्यकता है।"
"ID_IO_DESC_20","किस लिए? ताकि कई समुद्री जीवों को रहने और खाने के लिए जगह मिल सके!"
"ID_IO_DESC_21","समुद्र की लहर से सीधे बिजली निकालने की एक सरल योजना।"
"ID_IO_DESC_22","शहर के केंद्र में प्रकृति से भरपूर एक जगह! ताजा हवा और पालतू जानवरों के साथ चलने के लिए बहुत सारी जगह।"
"ID_IO_DESC_23","झील छोटी है, लेकिन इसमें वनस्पतियों और जीवों की विविधता बहुत ज्यादा है! क्या हंसों को खाना खिलाना चाहते हैं?"
"ID_IO_DESC_24","जंगल के जानवरों को आग से बचाया जाता है, यह सर्दियों के लिए मशरूम इकट्ठा करने का समय है।"
"ID_IO_DESC_25","घर बिजली की छड़ी से लैस है, गरज के दौरान अब आग का खतरा नहीं।"
"ID_IO_DESC_26","मोनोरेल सबसे अधिक पर्यावरण के अनुकूल, खुला और तेज़ परिवहन है। चलो धुआं छोड़ने वाली बसों को अतीत में छोड़ दें।"
"ID_IO_DESC_27","भालुओं के पास फिर से घर है। ग्लोबल वार्मिंग को ''ना'' कहें!"
"ID_IO_DESC_28","हिमखंड अब पिघलते नहीं हैं। अंटार्कटिका में ग्लेशियरों का क्षेत्र जितना बड़ा होगा दुनिया भर में तापमान उतना ही अधिक स्थिर होगा।"
"ID_BUILD","बनाएं"
"ID_ERROR","एरर"
"ID_ERROR_AD_DESC","फिर से कोशिश करें ':("
"ID_OK","ठीक है"
"ID_DAILY_REWARDS_TITLE","दैनिक इनाम"
"ID_DAY","दिन"
"ID_R_U_SURE_EXIT","क्या वास्तविक जीवन में दुनिया में सुधार जारी रखना चाहते हैं?"
"ID_GEMS","रत्न"
"ID_CLEAN_ENERGY","शुद्ध उर्जा"
"ID_PERS_CARD","स्टाफ कार्ड {0}"
"ID_RENOVATION","आधुनिकीकरण"
"ID_RECONSTRUCTION_DESС","सभी ऑब्जेक्ट नष्ट हो जाएंगे। आपका स्टाफ आपके साथ रहेगा। स्टाफ लेवल को सुरक्षित रखा जाएगा। आपके नए ऑब्जेक्ट की दक्षता दोगुना हो जाएगी!"
"ID_GO","ठीक है"
"ID_LATER","बाद में"
"ID_GOOD","अच्छा"
"ID_OPEN_NEXT","अगला खोलें"
"ID_YOUR_REWARD","आपका इनाम"
"ID_WATCH_AD","ऐड देखें"
"ID_QUEST_COMPLETE","मिशन पूरा हुआ"
"ID_LEVEL_10","10 लेवल"
"ID_AUTOPLAY_ENABLED","ऑटोप्ले
 सक्षम"
"ID_INCOME","आय"
"ID_TUTOR_STEP_1","नमस्ते! आइये कचरे और प्रदूषण से ग्रह को एक साथ साफ करें! इसे साफ करने के लिए इस क्षेत्र पर टैप करें।"
"ID_TUTOR_STEP_2","देखें यह कितना ज्यादा साफ हो गया है! स्वयंसेवक निष्क्रिय नहीं थे। उनकी मदद से हमें शुद्ध ऊर्जा मिली! इसे एकत्र करने के लिए श्रमिकों पर टैप या स्वाइप करें।"
"ID_TUTOR_STEP_3","स्वयंसेवक अच्छा काम करते हैं, लेकिन वे और भी बेहतर काम कर सकते हैं! आइये अपग्रेड मेनू खोलें और उनका लेवल बढ़ाएं। अपग्रेड आइकन पर क्लिक करें।"
"ID_TUTOR_STEP_4","ऑब्जेक्ट को अपग्रेड करने से आय में वृद्धि होती है। इसे अपग्रेड करने के लिए ऑब्जेक्ट के पैनल पर क्लिक करें।"
"ID_TUTOR_STEP_5","जब ऑब्जेक्ट 10 लेवल तक पहुँच जाता है, तो यह अपने आप काम करना शुरू कर देगा। आपको बस शुद्ध ऊर्जा एकत्र करनी है। ब्लूप्रिंट मोड से बाहर निकलने के लिए अपग्रेड आइकन पर क्लिक करें।"
"ID_TUTOR_STEP_6","अब दूसरा ऑब्जेक्ट बनाने के लिए पर्याप्त शुद्ध ऊर्जा प्राप्त करें। इससे और भी ज्यादा आय प्राप्त होगी!"
"ID_TUTOR_STEP_7","बहुत बढ़िया! हमारे पास पर्याप्त शुद्ध ऊर्जा है। आइये दूसरे ऑब्जेक्ट बनाते हैं।"
"ID_TUTOR_STEP_8","आप सही कर रहे हैं! ऑब्जेक्ट में सुधार करना और इन्हें बनाना जारी रखें। देखो, अभी बहुत काम करना बाकी है!"
"ID_TUTOR_HINT_9","यह मिशन और क्वेस्ट का एक मेनू है। यहां आप उनकी प्रोग्रेस को ट्रैक कर सकते हैं।"
"ID_TUTOR_HINT_10","बधाई हो! आपने अपना पहला मिशन पूरा कर लिया है! इनाम पाने के लिए क्वेस्ट मेनू पर जाएं। मिशन और क्वेस्ट रत्नों और संदूक का एक स्थिर स्रोत हैं।"
"ID_TUTOR_HINT_11","हमारे गेम की शॉप में आपका स्वागत है! ये संदूक हैं, उनमें बहुत सारी मूल्यवान चीजें हैं।"
"ID_TUTOR_HINT_12","और ये बूस्टर हैं। वे समय को रिवाइंड करते हैं और इनसे आपको ऑब्जेक्ट से बहुत अधिक आय प्राप्त होती है।"
"ID_TUTOR_HINT_13","यहां आप इकोबूस्ट को सक्रिय कर सकते हैं,जिससे सभी ऑब्जेक्ट दो गुना तेजी से काम कर सकेगें!"
"ID_TUTOR_HINT_14","हुर्रे! आपको अपना पहला स्टाफ कार्ड मिल गया है! स्टाफ की मदद से ऑब्जेक्ट तेजी से काम करते हैं। आइये अपग्रेड मेनू खोलें और देखें कि कौन सा ऑब्जेक्ट तेजी से काम करता है।"
"ID_TUTOR_HINT_15","बधाई हो! आपके पास अपने स्टाफ को दूसरे लेवल पर अपग्रेड करने के लिए पर्याप्त कार्ड हैं! जब आप इसमे सुधार करते हैं, तो ऑब्जेक्ट की गति दो गुना बढ़ जाएगी।"
"ID_TUTOR_HINT_16","आप एक बहुत ही महत्वपूर्ण चरण पर पहुँच चुके हैं! ऑब्जेक्ट के आधुनिकीकरण से आप और भी अधिक शुद्ध ऊर्जा प्राप्त कर सकेंगे!"
"ID_TUTOR_HINT_17","यह शोध मेनू है। यहां आप वैज्ञानिक विकास शुरू कर सकते हैं जिससे आपकी आय बहुत ज्यादा बढ़ जाएगी।"
"ID_TUTOR_HINT_18","यह जीवन वृक्ष है! इसे बढ़ने में मदद करें, और प्रत्येक शाखा के साथ आपको और भी ज्यादा रत्न प्राप्त होंगे!"
"ID_SPEED","स्पीड"
"ID_NOT_ENOUGH_ENERGY","पर्याप्त ऊर्जा नहीं"
"ID_NOT_ENOUGH_GEMS","पर्याप्त रत्न नहीं"
"ID_UPGRADE_CARD_DESC","{0} लेवल पर अपग्रेड करें।"
"ID_LOADING","लोड हो रहा है..."
"ID_PURCHASE_QUESTION","खरीदें?"
"ID_PACKAGE","वितरण"
"ID_PUSH_COMEBACK","दैनिक बोनस लेने के लिए वापस आएं!"
"ID_PUSH_DAILY","हम ग्रह को साफ करने की कोशिश कर रहे हैं, लेकिन आपके बिना यह करना हमारे लिए मुश्किल है! वापस लौटें!"
"ID_PUSH_TITLE_COMEBACK","मदद चाहिए!"
"ID_PUSH_TITLE_DAILY","दैनिक इनाम तैयार है!"
"ID_RESEARCH","शोध"
"ID_HOURS","h"
"ID_RESEARCH_LAB_TITLE","प्रयोगशाला"
"ID_RESEARCH_LAB_DESC","अवधि {0} घंटे"
"ID_RESEARCH_GEO_TITLE","भूवैज्ञानिक"
"ID_RESEARCH_GEO_DESC","अवधि {0} घंटे"
"ID_RESEARCH_FIELD_TITLE","क्षेत्र"
"ID_RESEARCH_FIELD_DESC","अवधि {0} घंटे"
"ID_RESEARCH_COMPLEX_TITLE","जटिल"
"ID_RESEARCH_COMPLEX_DESC","अवधि {0} घंटे"
"ID_LAUNCH","शुरू करें"
"ID_PERS_CARD_TITLE","स्टाफ कार्ड"
"ID_PERS_CARD_DESC","कार्ड प्राप्त करने के लिए संदूक खोलें"
"ID_IMPROVE","अपग्रेड करें"
"ID_PERS_CARD_CHARS","ऑब्जेक्ट:
 स्पीड:
 आय:"
"ID_UNLOCK_PERS","नई गतिविधि उपलब्ध है!
 ''स्टाफ''"
"ID_UNLOCK_QUESTS","नई गतिविधि उपलब्ध है!
 ''क्वेस्ट''"
"ID_UNLOCK_RESEARCH","नई गतिविधि उपलब्ध है!
 ''शोध'"""
"ID_UNLOCK_ECOBOOST","नई गतिविधि उपलब्ध है!
 ''इकोबूस्ट''"
"ID_UNLOCK_AIRDROP","नई गतिविधि उपलब्ध है!
 ''एयरशिप''"
"ID_UNLOCK_COFFEE","नई गतिविधि उपलब्ध है!
 ''कॉफ़ीबूस्ट''"
"ID_UNLOCK_GEM_TREE","नई गतिविधि उपलब्ध है!
 ''जीवन वृक्ष'"""
"ID_PUSH_RESEARCH","इनाम पाने के लिए वाप आएं"
"ID_PUSH_TITLE_RESEARCH","शोध पूरा हुआ!"
"ID_Q_COLLECT_GEM_FRUITS","{0} रत्न फल एकत्र करें"
"ID_GEM_TREE","जीवन वृक्ष"
"ID_JACKPOT","जैकपॉट"
"ID_NEW_LEVEL","नया लेवल!"
"ID_LEVEL","लेवल"
"ID_INCOME_INCREASED","आय
 बढ़ी!"
"ID_RATE_LIKE","क्या आपको गेम पसंद है?"
"ID_RATE_RATE","हमे रेटिंग दें!"
"ID_RATE_NEVER_ASK","दोबारा ना पूछें"
"ID_FORTUNE_TITLE","भाग्य का पहिया"
"ID_FW_FREE_AVAILABLE","मुफ्त स्पिन उपलब्ध"
"ID_FW_ROTATE","स्पिन करें"
"ID_CONGRADS","बधाई हो!"
"ID_FWR_YOU_GET","आप जीत गए:"
"ID_FW_TIME_LEFT","मुफ्त स्पिन का समय"
"ID_INCOME_MULT","आय: <color=#B9FF58>{0}%</color>"
"ID_MODERN_SCORE","आधुनिकीकरण स्कोर: <color=#B9FF58>{0}</color>"
"ID_MINI_QUESTS","दैनिक क्वेस्ट"
"ID_RESET_QUESTS","इतने समय में रीसेट करें: {0}"
"ID_AD_RESET","रीसेट करें"
"ID_MOD_INCOME","वर्तमान आय:"
"ID_MOD_SCORE","आधुनिकीकरण स्कोर:"
"ID_MOD_SCORE_HINT","आधुनिकीकरण का स्कोर"
"ID_INCOME_AFTER","आधुनिकीकरण के बाद आय:"
"ID_MOD_SAVE","इसे सेव किया जाएगा:
 '+ स्टाफ की प्रगति
 '+ रत्न
 '+ संदूक और टाइम बूस्टर
 '+ शोध की प्रगति"
"ID_MOD_LOST","यह खो जाएगा:
 - बनाने की प्रगति
 - स्वच्छ ऊर्जा
 - इको-बूस्ट"
"ID_MOD_DESCR","आधुनिकीकरण आधुनिकीकरण स्कोर को आय में परिवर्तित करता है"
"ID_MOD_HINT_1","आधुनिकीकरण स्कोर ऑब्जेक्ट को बनाने, उन्हें अपग्रेड करने और गेम में बिताए गए समय के लिए दिया जाता है।"
"ID_MOD_HINT_2","आधुनिकीकरण आधुनिकीकरण स्कोर को आय में परिवर्तित करता है, जिससे यह बढ़ता है।"
"ID_COMPLETED","पूरा हुआ"
"ID_ACHIEVEMENTS","उपलब्धियां"
"ID_MOD_BUBBLE","यह आधुनिकीकरण करने का समय है"
"ID_MOD_BUTTON_INC","आय +{0}%"
"ID_RATE_SELECT_STARS","सितारों की संख्या चुनें"
"ID_RATE_APPLY","मूल्यांकन करें!"
"ID_GDPR_TITLE","एक सेकंड रुकें!"
"ID_GDPR_DESC","इससे पहले कि हम शुरू करें ​आपको हमारी सेवा की शर्तों को स्वीकार करना होगा!"
"ID_GDPR_TERMS","शर्तों को पढ़ें"
"ID_GDPR_APPLY","स्वीकार करना"
"ID_UPGRADE_FOR_AD_DESCR","{1} के स्तर पर +{0} प्राप्त करें"
"ID_ACTIVATE","सक्रिय"
"ID_LOCKED_SCREEN_DESCR","स्थान खोलने के लिए #{0}
हर वस्तु का निर्माण
स्थान पर #{1}"
"ID_LOCKED_SCREEN_CAPTION","स्थान अनुपलब्ध :("
"ID_BACK","वापस"
"ID_UNLOCKED_SCREEN_DESCR1","आपने सभी को साफ़ कर दिया
स्थान के प्लॉट #{0}!"
"ID_UNLOCKED_SCREEN_DESCR2","स्थान #{0} अब उपलब्ध है!
आगे बहुत काम "
"ID_TIME_EVENT_INFO_REWARDS_TITLE","REWARDS"
"ID_TIME_EVENT_INFO_REWARDS_MORE","MORE"
"ID_TIME_EVENT_INFO_DESCR","You've got a message
from an island nearby: ''We need your help! On our island
critical pollution level! Hurry up! ''
Well, duty is calling!"
"ID_TIME_EVENT_INFO_LAUNCH","BEGIN!"
"ID_TIME_EVENT_INFO_TIMER","ends in: {0}"
"ID_DAYS","d."
"ID_MINUTES","m."
"ID_TIME_EVENT_REWARDS_DESCR","Collect stars
by improving objects"
"ID_TIME_EVENT_RESULTS_TITLE","REWARDS"
"ID_TIME_EVENT_RESULTS_DESCR","event
ended!"
"ID_TIME_EVENT_RESULTS_COLLECT","COLLECT!"
"ID_TIMEBOOST_1h","Booster 1h"
"ID_TIMEBOOST_4h","Booster 4h"
"ID_TIMEBOOST_24h","Booster 24h"
"ID_TIMEEVENT_EXIT","EXIT"
"ID_TIMEEVENT_ENDSIN","Ends in:"
"ID_TIME_EVENT_INFO_TITLE","NEW EVENT!"